Date,Adj Close (TSLA),Adj Close (SEDG),Close (TSLA),Close (SEDG) ,High (TSLA),High (SEDG),Low (TSLA),Low (SEDG),Open (TSLA),Open (SEDG),Volume (TSLA),Volume (SEDG)
7/11/2019,47.72000122,60.75999832,47.72000122,60.75999832,48.29999924,62.72000122,47.15999985,59.84500122,47.62799835,62.29999924,37572000,520000
7/12/2019,49.01599884,62.11999893,49.01599884,62.11999893,49.07600021,62.54000092,47.94200134,61.27500153,47.95000076,61.47999954,46002500,417500
7/15/2019,50.70000076,61.83000183,50.70000076,61.83000183,50.88399887,62.40000153,48.97200012,60.22000122,49.59999847,62.22999954,55000500,332800
7/16/2019,50.47600174,61.40000153,50.47600174,61.40000153,50.70600128,61.70500183,49.58599854,60.65000153,49.86000061,61.65000153,40745000,204000
7/17/2019,50.97200012,62.36000061,50.97200012,62.36000061,51.66199875,62.5,50.66999817,61.04999924,51.13399887,61.5,48823500,285300
7/18/2019,50.70800018,62.63999939,50.70800018,62.63999939,51.15000153,63,50.37799835,61.90000153,51.00999832,62,23793000,521800
7/19/2019,51.63600159,63.36999893,51.63600159,63.36999893,51.99200058,63.83000183,50.92399979,62.79000092,51.13800049,63,35242000,383300
7/22/2019,51.13600159,63.06000137,51.13600159,63.06000137,52.43000031,64.19000244,50.83800125,62.33599854,51.75,63.47999954,34212000,473200
7/23/2019,52.0340004,62.45000076,52.0340004,62.45000076,52.09600067,63.72999954,50.90000153,61.49399948,51.34199905,63.70000076,25115500,328700
7/24/2019,52.97600174,62.5,52.97600174,62.5,53.2140007,62.77999878,51.63199997,61.55500031,51.83399963,62.54000092,55364000,376600
7/25/2019,45.76399994,63.08000183,45.76399994,63.08000183,46.90000153,63.77000046,45.11000061,61.86000061,46.70000076,62.49000168,112091500,411100
7/26/2019,45.60800171,63.25999832,45.60800171,63.25999832,46.05199814,63.79000092,44.45000076,63.02999878,45.38399887,63.61000061,50138500,193000
7/29/2019,47.15399933,64.33000183,47.15399933,64.33000183,47.18799973,64.54000092,45.20600128,63.00999832,45.41799927,63.50999832,46366500,438700
7/30/2019,48.45199966,63.40000153,48.45199966,63.40000153,48.67200089,64.20999908,46.43600082,63.06000137,46.58000183,63.79999924,40545000,332500
7/31/2019,48.3219986,65.23000336,48.3219986,65.23000336,49.33599854,67.19000244,47.33000183,63.49200058,48.59999847,65.16999817,45891000,1459500
8/1/2019,46.77000046,66.48999786,46.77000046,66.48999786,48.90200043,69,46.35400009,65.80000305,48.52999878,66.58999634,41297500,1218200
8/2/2019,46.86800003,64.98000336,46.86800003,64.98000336,47.25400162,66.80000305,45.84600067,64.08999634,46.27000046,66.72000122,30682500,845500
8/5/2019,45.66400146,62.90999985,45.66400146,62.90999985,46.27399826,64.5,45.15599823,60.93000031,45.91999817,64.11000061,35141500,1169600
8/6/2019,46.15000153,64.18000031,46.15000153,64.18000031,46.5,65.83000183,45.15000153,62.36999893,46.37599945,63.56000137,27821000,1211400
8/7/2019,46.68399811,80.30000305,46.68399811,80.30000305,46.7140007,81,45.15999985,74.86000061,45.29999924,75.98999786,23882500,5565700
8/8/2019,47.65999985,80.81999969,47.65999985,80.81999969,47.95999908,81.12000275,46.52999878,76.19999695,46.88999939,78.65000153,26371500,1478100
8/9/2019,47.0019989,82.33000183,47.0019989,82.33000183,47.79199982,84.61000061,46.76200104,79.02999878,47.20999908,79.16999817,19491000,1535200
8/12/2019,45.80199814,86.62999725,45.80199814,86.62999725,47.15399933,88.23999786,45.75,81.11000061,46.59799957,81.11000061,23319500,2207500
8/13/2019,47,87.77999878,47,87.77999878,47.20000076,89.43000031,45.50999832,86.125,45.76200104,86.83000183,24240500,1440500
